Declaration_Number,Import_Date,Importer_ID,Broker_ID,Transport_Mode,Origin_Country,Port_of_Entry,Clearance_Port,Invoice_No,Invoice_Details,Item_Number,HS_Code,Stat_Code,Product_Code,Brand,Model_No,Product_Year,Cleaned_Description,Quantity,Net_Weight_KG,Gross_Weight_KG,Declared_Currency_Code,Unit_Price_Foreign_CIF,Invoice_Amount_Foreign,Exchange_Rate,Unit_Price_THB_CIF,Invoice_Amount_THB,Privilege_Code,Incentive_Scheme,Duty_Paid_THB,VAT_Paid_THB,Other_Taxes_THB,External_Benchmark_Price_THB,Is_Related_Party,Is_Anomaly_Confirmed,PRAISE_Alert_Ref_No,Recovered_Tax_THB,Review_Officer_ID,Review_Timestamp
DEC23032696155,2023-03-26,IMP-008,BROK-027,Land,CN,BKK,LCP,INV-36249,Standard Import,1,87089360,0,PROD-618,BrandX,M-99,2023,Clutches,38.0,350.97,398.15,USD,3076.52,116907.76,35.07,107893.56,4099955.14,0,,1229986.54,373095.92,0.0,100000.0,1,False,REF-93655,0.0,OFFICER-43,2024-12-22
DEC25020739633,2025-02-07,IMP-003,BROK-022,Air,DE,LCP,BKK,INV-63139,Standard Import,1,33030000,0,PROD-103,BrandX,M-23,2025,Perfumes,64.0,255.97,285.59,USD,1975.37,126423.68,32.88,64950.17,4156810.6,999,,1247043.18,378269.76,0.0,105400.0,1,False,REF-21889,0.0,OFFICER-47,2024-12-30
DEC23121977710,2023-12-19,IMP-006,BROK-012,Sea,DE,BKK,SUV,INV-82030,Standard Import,1,64039990,0,PROD-807,BrandX,M-28,2024,Footwear,12.0,70.46,81.44,USD,841.29,10095.48,35.07,29504.04,354048.48,0,,106214.54,32218.41,0.0,28050.0,0,False,REF-19755,0.0,OFFICER-21,2024-12-28
DEC23033172348,2023-03-31,IMP-006,BROK-023,Sea,CN,LCP,BKK,INV-84596,Standard Import,1,64039990,0,PROD-678,BrandX,M-84,2022,Footwear,63.0,135.43,145.02,USD,838.57,52829.91,35.07,29408.65,1852744.94,0,,555823.48,168599.79,0.0,28050.0,0,True,REF-98808,476279.96,OFFICER-13,2024-12-07
DEC251004108787,2025-10-04,IMP-008,BROK-040,Sea,CN,BKK,LCP,INV-74452,Standard Import,1,87089360,0,PROD-566,BrandX,M-59,2023,Clutches,20.0,98.9,118.13,USD,3212.11,64242.2,32.88,105614.18,2112283.54,999,,633685.06,192217.8,0.0,100000.0,1,False,REF-62904,0.0,OFFICER-13,2024-12-10
DEC23101276334,2023-10-12,IMP-006,BROK-003,Air,CN,BKK,BKK,INV-19939,Standard Import,1,64039990,0,PROD-225,BrandX,M-84,2023,Footwear,49.0,286.94,336.58,USD,829.39,40640.11,35.07,29086.71,1425248.66,999,,427574.6,129697.63,0.0,28050.0,1,False,REF-78293,0.0,OFFICER-41,2024-12-07
DEC25121170038,2025-12-11,IMP-005,BROK-037,Sea,CN,BKK,BKK,INV-56261,Standard Import,1,62044290,0,PROD-206,BrandX,M-58,2024,Women Dresses,35.0,138.66,161.88,USD,1211.4,42399.0,32.88,39830.83,1394079.12,999,,418223.74,126861.2,0.0,44200.0,0,False,REF-79516,0.0,OFFICER-11,2024-12-17
DEC23021246488,2023-02-12,IMP-005,BROK-004,Sea,CN,BKK,BKK,INV-55033,Standard Import,1,62044290,0,PROD-238,BrandX,M-24,2024,Women Dresses,12.0,45.72,48.61,USD,1405.57,16866.84,35.07,49293.34,591520.08,999,,177456.02,53828.33,0.0,44200.0,0,True,REF-81733,261568.26,OFFICER-26,2024-12-31
DEC23062928814,2023-06-29,IMP-003,BROK-007,Air,DE,SUV,SUV,INV-20127,Standard Import,1,33030000,0,PROD-220,BrandX,M-74,2024,Perfumes,63.0,189.32,200.67,USD,3159.08,199022.04,35.07,110788.94,6979702.94,0,,2093910.88,635152.97,0.0,105400.0,1,False,REF-14252,0.0,OFFICER-43,2024-12-06
DEC25012917000,2025-01-29,IMP-001,BROK-024,Sea,JP,BKK,BKK,INV-48293,Standard Import,1,19059030,0,PROD-756,BrandX,M-40,2025,Cake,37.0,328.7,363.31,USD,159.99,5919.63,32.88,5260.47,194637.43,999,,58391.23,17712.01,0.0,5000.0,0,True,REF-17303,20074.68,OFFICER-17,2024-12-21
